genre,director actor1 actor2 title,year,rating,releasedate
Drama,Philip Haas Connie Nielsen Damian Lewis The Situation,2006,6.4,18-Oct-06
Drama,None Armando Beltran Phillip Skylier Blake Hands of God,2010,7.8,21-Apr-10
Comedy,None Jeff Anderson Suzette Andrea Now You Know,2002,6.7,13-Dec-02
Drama,Jen White Michael D. Conway Anika Kunik Between Floors,2009,7,30-Aug-09
Drama,None Sylvester Stallone Antonio Tarver Rocky Balboa,2006,7.2,20-Dec-06
Drama,Karen Leigh Hopkins Katie Holmes James Badge Dale Miss Meadows,2014,5.7,14-Nov-14
Horror,Dennis Devine Veronica Ricci Marlene Mc'Cohen Lizzie Borden's Revenge,2013,2.2,18-Oct-13
Comedy,None Jonny Hughes Tim Shuster In the City,2009,8.8,11-Jun-09
Crime,Seth Pinsker Raphael Sbarge Kate Hodge The Hidden II,1993,2.7,6-Sep-93
Horror,Wes Craven Maren Jensen Sharon Stone Deadly Blessing,1981,5.5,14-Aug-81
Horror,Veronica Craven Barry Ratcliffe Eliza Swenson Pocahauntus,2006,5.6,11-Nov-06
Adventure,Josh Blount John I. Baxter Josh Blount The Freelands,2011,7,11-Jan-11
Adult,None Trinity Loren Tracey Adams Rachel Ryan RR,1988,6.2,NA
Drama,David Fincher Brad Pitt Edward Norton Fight Club,1999,8.8,15-Oct-99
Biography,Kasi Lemmons Don Cheadle Chiwetel Ejiofor Talk to Me,2007,7.4,3-Aug-07
Comedy,Erik Sharkey Adam West Annie Golden Sexina,2007,4.5,6-Nov-07
Drama,None Marshall Walker Lee Megan Carver The Buskers & Lou,2014,6.6,20-Jun-14
Comedy,None Dwight Hicks Ruth de Sosa The Wednesday Night Save the World Society,2001,8.3,1-Dec-01
Action,Michael Stokes Teri Polo David Rees Snell The Beacon,2009,4.8,13-Sep-11
Action,Jalal Merhi David Bradley Brad Milne Crisis,1997,4.5,22-Jun-99
Action,Terence H. Winkless Don Wilson Joe Mari Avellana Bloodfist,1989,4.9,22-Sep-89
Drama,Alison Mills Newman Trenell Blanks Jayvon Bowens The Tree Widow,2015,8,16-Dec-15
Drama,Peter Neville David Pevsner Tim Kazurinsky Scrooge & Marley,2012,6.9,1-Dec-12
Comedy,Frank Coraci Adam Sandler Drew Barrymore The Wedding Singer,1998,6.8,13-Feb-98
Western,Sam Peckinpah Joel McCrea Randolph Scott Ride the High Country,1962,7.6,14-Jul-62
Comedy,Kaitlyn Busbee Matt Dellapina Sean Christopher Lewis These Hopeless Savages,2014,6.8,5-Mar-15
Action,None Mark Laurnoff Jeremy King Terrible Things,2010,5,4-Mar-10
Adult,None Lili Marlene Colleen Brennan Lady Dynamite,1983,5.7,NA
Crime,Jesse V. Johnson Raymond J. Barry Michael Weatherly The Hitmen Diaries: Charlie Valentine,2009,5.5,1-Mar-09
Horror,Tom Savini Tony Todd Patricia Tallman Night of the Living Dead,1990,6.9,19-Oct-90
Adult,Hal Freeman Peter North Herschel Savage Games Couples Play,1987,5.9,NA
Action,Angelica De Alba Delawna McKinney Anthony Iava To'omata Streets of Vengeance,2016,6.6,13-Oct-16
Comedy,None Dennis Moore Debbie Wooten The Pony Man,2012,8.6,NA
Comedy,Rob Minkoff Eddie Murphy Marsha Thomason The Haunted Mansion,2003,4.9,26-Nov-03
Crime,None Katherine Castro Rose Bianco American Violence,2015,7.2,8-Dec-15
Adult,Harry Reems Valerie Marron Any Mathieu Revolving Teens,1973,5,31-Oct-73
Comedy,Michael Stoller Katherine Bar Jordan Brown Death of a Porn Crew,2014,6.8,19-Mar-16
Thriller,David Martín Porras Haley Webb Shawn Christian Unwritten Obsession,2017,5.8,27-Aug-17
Comedy,Werner Molinsky Jean Smart Jennifer Elise Cox Forever Fabulous,1999,7.2,7-Oct-99
Thriller,Larry Rosen Oriana D'Agostino Libra Jiminez The Last One Left,2015,8.7,NA
Comedy,None Marianna Palka Jason Ritter Bitch,2017,5,10-Nov-17
Adult,None Tony Martino Rachel Ashley Hard to Handle,1987,5.4,1987
Comedy,Fred Gallo John Hoyt Nick Damici The Don of 42nd Street,2009,7.6,NA
Drama,Catherine Carlen Lela Rochon John Diehl Running Out of Time in Hollywood,2006,8.2,2006
Drama,None John Adams Lulu Adams Rumblestrips,2011,7.1,NA
Action,None Hayden Christensen Natalie Portman Star Wars: Episode III - Revenge of the Sith,2005,7.6,19-May-05
Western,Patrick Ball Mark Baugher Sande Comenzind C-Bar,2015,7.9,1-May-15
Documentary,Calum Waddell Frank Henenlotter Robert Kerman Eaten Alive! The Rise and Fall of the Italian Cannibal Film,2015,7,12-May-15
Comedy,None Sylvia Batey Alcalá Christina Leone Fame Dogs,2016,8.6,2016
Comedy,Harry Shearer Martin Mull Mary Kay Place Portrait of a White Marriage,1988,5.2,NA
Action,Makoto Yokoyama Sam Bottoms Masakatsu Funaki Shadow Fury,2001,3.8,1-Jul-02
Comedy,Justin Schwarz Griffin Dunne Madeleine Martin The Discoverers,2012,5.6,16-May-14
Comedy,Giuliano Carnimeo Maurice Chevalier Eleanor Parker Panic Button,1964,5.8,Apr-64
Drama,Craig Miller Marisa Brown Brett Jacobsen Blink,2007,7.7,17-Aug-07
Action,John Singleton Mark Wahlberg Tyrese Gibson Four Brothers,2005,6.9,1-Jul-05
Comedy,None Catherine O'Hara Harry Shearer For Your Consideration,2006,6.3,22-Nov-06
Comedy,Morgan Mead Morgan Mead Patrick Babbitt My Bloody Wedding,2010,3.1,2010
Drama,Fielder Cook Robin Williams Richard B. Shull Seize the Day,1986,6.1,9-Sep-86
Horror,David Wexler Elizabeth Alderfer Rik Burns Turtle Island,2013,5.7,2013
Drama,Alex Markman Stephanie Brait Matthew Dixon Colby,2016,8.5,25-Apr-16
Comedy,Steven Jacobson Karen Corrado Max Goff Team-Mates,1978,5.8,Sep-78
Thriller,Todd Turner Billy Dee Williams Danica McKellar Good Neighbor,2001,4,NA
Drama,David Seltzer Michael Douglas Melanie Griffith Shining Through,1992,6.4,31-Jan-92
Adventure,Shawn Levy Frankie Muniz Amanda Bynes Big Fat Liar,2002,5.4,8-Feb-02
Biography,Tom Zarzecki Christopher Bokhari Paul Cary The Curse of the Death Cat,2012,6.4,4-Apr-12
Drama,Jeremy Benson Charisma Carpenter Juliet Reeves London Girl in Woods,2016,3.4,3-Jun-16
Horror,Bryan Bertino Alexandra Lydon Todd Stashwick Mockingbird,2014,4.1,7-Oct-14
Horror,Herschell Gordon Lewis Jim Rau Don Alexander The Wizard of Gore,1970,5.5,23-Oct-70
Drama,Anthony Spadaccini Paul McCloskey Barbara Lessin Head Case,2007,4.9,8-Sep-07
Horror,None Mackenzie Rosman Timothy Busfield Nightcomer,2013,7.2,2013
Thriller,Doug Campbell Linda Purl Maxwell Caulfield The Perfect Tenant,2000,4.7,25-Jul-00
Drama,Christopher Noice Butch Patrick Mark Goddard Soupernatural,2010,6.7,2010
Drama,Shana Feste Gabriella Wilde Alex Pettyfer Endless Love,2014,6.3,14-Feb-14
Documentary,Cedric Brelet von Sydow Thomas Horn Chris Menges Max Von Sydow: Dialogues with The Renter,2012,6.9,27-Mar-12
Thriller,None Elle Richardson Deborah Duke Black Aura on an Angel,2004,7.3,12-Jun-04
Horror,Rahil Bhorania Randy Wayne Ashley C. Nelson Scar,2005,3.3,20-Jul-05
Comedy,None Tytus Bergstrom Li Wen Ang Reality TV Movie,2014,7.9,13-Nov-14
Action,Brett Piper Steve Diasparra Danielle Donahue Queen Crab,2015,4.3,29-Sep-15
Adult,None Colleen Anderson Richard Mailer Up in Flames,1978,3.3,1978
Thriller,None Jessica Russo Kari Bars Happy Hour,2011,5.4,NA
Comedy,Hart Bochner Jeremy Piven Chris Young PCU,1994,6.6,29-Apr-94
Action,Joseph Sargent Robert Vaughn David McCallum The Spy in the Green Hat,1967,5.9,3-Feb-67
Horror,Harvey Hart Leslie Nielsen Peter Mark Richman Dark Intruder,1965,6.4,21-Jul-65
Action,None Kurt Russell Kim Cattrall Big Trouble in Little China,1986,7.3,2-Jul-86
Adventure,George Miller Christopher Reeve Rosanna Arquette The Aviator,1985,5.5,15-Mar-85
Comedy,Jack Lemmon Walter Matthau Deborah Winters Kotch,1971,6.7,17-Sep-71
Action,Cirio H. Santiago Robert Dryer Rebecca Holden The Sisterhood,1988,3.6,Jan-88
Drama,None Philip Seymour Hoffman Amy Ryan Jack Goes Boating,2010,6.4,29-Dec-10
Action,Ryan Little Corbin Allred David Nibley Saints and Soldiers: Airborne Creed,2012,5.7,17-Aug-12
Comedy,Calob Robinson Gage Clift Adam Robinson Living with Trevor,2017,7.2,25-Aug-17
Comedy,Craig M. Saavedra James Le Gros Enrico Colantoni Sherman's Way,2008,5.5,6-Mar-09
Biography,Mark Rappaport Burl Ives Otto Kruger Rock Hudson's Home Movies,1992,6,1992
Documentary,Robert Guenette Linda Gray Kathryn Grayson The Amazing World of Psychic Phenomena,1976,6.6,18-Jun-76
Adult,Fred J. Lincoln Megan Leigh Joey Silvera Love on the Run,1988,6.5,NA
Horror,Herb Freed May Britt Cameron Mitchell Haunts,1977,5,Jul-77
Comedy,Youssef Delara Shemar Moore Nadine Velazquez The Bounce Back,2016,4.8,9-Dec-16
Action,Baxter Churchville Tyler Weaver Jr. Dayna Huor Champions of the Deep,2012,7.8,10-Aug-12
Comedy,Don Thacker Jeffrey Combs Adrian DiGiovanni Motivational Growth,2013,5.8,9-Nov-13
Drama,Bryan Enk Peter B. Brown Moira Stone Macbeth,2003,7.3,22-Feb-03
Comedy,James Westby Melik Malkasian Ritah Parrish Film Geek,2005,6.2,28-Jan-05
Horror,Paulmichel Mielche K.T. Baumann Morgan Upton Maxie,1973,3.2,1973
Drama,Derek Maki Louis Aguilar L.K. Avelar Instant Dads,2005,7.7,30-May-05
Drama,Celia Rowlson-Hall Kentucker Audley Matt Lauria Ma,2015,6.8,19-Apr-15
Comedy,Ronny Yu Jennifer Tilly Brad Dourif Bride of Chucky,1998,5.4,16-Oct-98
Crime,Michael Haneke Naomi Watts Tim Roth Funny Games,2007,6.5,4-Apr-08
Biography,None Darren McGavin Kathie Browne 43: The Richard Petty Story,1972,6.3,Nov-72
Comedy,Mark Smoot Kat Foster Joey Kern The Love Inside,2015,6,NA
Drama,Afdhere Jama Ajibike Adekoya Luis Anguiano Apart,2010,4.7,NA
Drama,Rebecca Miller Miranda Rhyne Charlotte Eve Blythe Angela,1995,6.4,Jan-95
Drama,Roberto Carminati Gilberto Torres Debora Balardini A Fronteira,2003,6.2,3-Nov-03
Action,Shane Acker Elijah Wood Jennifer Connelly 9,2009,7.1,9-Sep-09
Comedy,Steven O'Connell Michael DeNigris Rich Vos Rock Bottom,2002,6.8,1-Jul-02
Horror,George Barry Demene Hall William Russ Death Bed: The Bed That Eats,1977,4.4,11-Feb-10
Horror,Tommy Brunswick Daniel Baldwin James Russo Born of Earth,2008,3.7,20-Jul-08
Action,None Al Bianchi Thomas Brown The Red  Black and Blonde: God $ave,2011,7.4,18-Oct-11
Drama,Marisol Adler Mariluz Adler Christian S. Anderson Boricua,2004,6.4,5-May-04
Drama,Sig Shore Harvey Keitel Ed Nelson That's the Way of the World,1975,6.3,Jun-75
Drama,Gregory Hines Mark Evan Jacobs Karen Kirkland Bleeding Hearts,1994,6,22-Sep-95
Action,Christian Duguay Wesley Snipes Anne Archer The Art of War,2000,5.7,25-Aug-00
Thriller,Chosei Funahara Kate Rene Gleason Shannon Lenahan Dark Voices,2001,7.6,NA
Fantasy,Fede Alvarez Jane Levy Shiloh Fernandez Evil Dead,2013,6.5,5-Apr-13
Comedy,Kris Chin James Kyson Kathy Uyen Asian Stories,2006,6.9,1-Apr-06
Thriller,Elias Plagianos Robert Clohessy Josh Burrow The Crimson Mask,2009,6.6,26-Mar-09
Action,None Johanna Goldsmith Nina Laskowski Blow a Kiss,2016,2.9,NA
Comedy,Elliot Silverstein Anthony Quinn George Maharis The Happening,1967,5.6,Mar-67
Action,Michael Bay Mark Wahlberg Nicola Peltz Transformers: Age of Extinction,2014,5.7,27-Jun-14
Comedy,T.C. Christensen Steve Anderson Briana Shipley Bug Off!,2001,3.7,1-Aug-01
Action,None Chris Corulla Jr. André Joseph Dishonorable Vendetta,2012,6.9,24-Apr-13
Action,Yossi Wein Trae Thomas Todd Jensen Operation Delta Force 5: Random Fire,2000,3.9,2000
Horror,None Brenda Arsenault Marc Arturi Michael Myers: Absolute Evil,2016,6.4,31-Mar-16
Comedy,Bryan Spicer Tim Allen Kirstie Alley For Richer or Poorer,1997,5.7,12-Dec-97
Comedy,Ryan Pomeranz Bob Walz Kevin Laibson Pennsylvania Holy Ghosts,2014,7.7,25-Jan-14
Adventure,Lucas Campbell Raymond Turturro Ashleigh Holeman Cordoba Nights,2007,7.7,13-Mar-07
Family,Roger Melvin Denyce Lawton Lynn Whitfield The Dempsey Sisters,2013,6.1,NA
Comedy,Mark Stratton Jeremy Renner Seamus Dever Monkey Love,2002,5.2,12-Jun-02
Comedy,Heidi Van Lier Ele Keats Michael Tubman Monday,2006,5.7,24-Jan-06
Horror,Lance Lindsay C. Juston Campbell Faye Bolt Star Crystal,1986,3.3,Apr-86
Adult,Kim Christy Loni Sanders Sulka Dream Lovers,1980,6.9,NA
Comedy,James Habacker David Adamovich Minx Arcana The Cruel Tale of the Medicine Man,2016,7.7,15-Oct-16
Comedy,Vahe Gabuchian Tamara Dhia Kyle Mooney The Party Is Over,2015,5.2,1-May-15
Adult,Leonard Kirtman Chris Cassidy Bonnie Holiday Female Athletes,1980,7.5,4-Oct-80
Comedy,None Jess Weixler Jesse Eisenberg Free Samples,2012,5.6,20-Apr-12
Adventure,None Erin Stegeman Ace Marrero Once Upon a Time: The Rock Opera,2015,8,25-Sep-15
Crime,Afonso Poyart Anthony Hopkins Jeffrey Dean Morgan Solace,2015,6.4,16-Dec-16
Action,Stuart Rosenberg Eric Roberts Mickey Rourke The Pope of Greenwich Village,1984,6.7,22-Jun-84
Drama,None Jackie Costello Niyi Oni Four Fifteen,2011,8,2011
Crime,Tjardus Greidanus Escher Holloway Rachel Brosnahan A New York Heartbeat,2013,5.9,19-Jul-13
Drama,Nigel Barker Gary Condes Tony Resta Asylum,2003,7,19-Jan-03
Drama,Ricardo Mendoza Wheeler Orlando Arreola Ramiro Briones El escape de los Santos,2005,8.7,10-Dec-05
Comedy,Michael Tolkin Peter Weller Judy Davis The New Age,1994,5.7,16-Sep-94
Thriller,Hayley Cloake Brian Austin Green Melissa Keller Impact Point,2008,4.3,17-Jul-08
Action,Fred Olen Ray David Carradine Lee Van Cleef Armed Response,1986,5,3-Oct-86
Adult,Tom DeSimone Poco Alan Nicholas Grippo The Collection,1970,9,9-Sep-70
Drama,Jennifer Foreman Keri Barker Simone Leorin An Appointment with Mr. Vield,2017,7,17-Mar-17
Comedy,None Halley Barrett David Andrew Cooke Surrogative,2014,8.5,23-Nov-14
Drama,Michael Yebba William Lee Scott Jamie Hector A Feeling from Within,2012,4.3,29-Sep-12
Sci-Fi,Andrew Bellware Danielle Quisenberry Kathleen Kwan Battle: New York  Day 2,2011,2,21-Nov-11
Comedy,Stacy Title Snoop Dogg Daniella Alonso Hood of Horror,2006,4,12-Dec-07
Horror,Jason Liquori Cyndi Crotts Forest Crumpler Death Plots,2005,4,31-Aug-05
Horror,Tom DeSimone Linda Blair Vincent Van Patten Hell Night,1981,5.8,28-Aug-81
Crime,Peter Weir Harrison Ford Kelly McGillis Witness,1985,7.4,8-Feb-85
Horror,Jacob Ennis Karen Boles Nathan Day Stash,2007,3.1,4-Nov-07
Horror,Tawd B. Dorenfeld Tyler Bradberry Victoria de Los Angeles BLDNG Movie,2015,2.6,1-Apr-15
Comedy,M. Legend Brown Christian Heep Sharice Henry Chasi A Man Called Jon,2015,7.5,25-Oct-15
Crime,Jacob Estes Rory Culkin Ryan Kelley Mean Creek,2004,7.3,29-Sep-04
Adult,None John Holmes Devon Mayer The Group,1973,6.2,23-Nov-73
Comedy,Andrew Putschoegl Larisa Oleynik Jenny O'Hara BFFs,2014,5.4,31-Jan-14
Action,Justin Lin Vin Diesel Paul Walker Fast & Furious,2009,6.6,3-Apr-09
Drama,Frank Lin Heather Langenkamp Samantha Mumba Home,2016,4,16-Mar
Biography,George Cukor Dirk Bogarde Capucine Song Without End,1960,6,19-Sep-60
Action,Mark Polonia Sarah French Peter Baldo Land Shark,2017,2.4,27-Jun-17
Comedy,Paul Bartel Tim Conway Jack Weston The Longshot,1986,5.5,17-Jan-86
Thriller,Matt Shakman Michael Stuhlbarg Bruce Dern Cut Bank,2014,6,3-Apr-15
Drama,Cal Robertson Brianna Hildebrand Christy Carlson Romano Prism,2015,6.4,2015
Action,Jack Davis Adrienne Fischer Tom Mirth The Chop,2017,8.4,26-Aug-17
Comedy,Chris Wolf Ben Savage Jon Gries Car Babes,2006,5.6,26-Dec-06
Adult,Michael Carpenter Sheri St. Claire Helga Sven Make Me Want It,1986,6,NA
Western,Richard Lloyd Dewey Linda Gilbert Shantal Hiatt Rockwell,1994,4.2,NA
Drama,Mike Trippiedi Joe Dempsey Carolyn Kodes-Atkinson Amber Rose,2010,8.3,NA
Drama,John C. Lyons Ruth Thoma Andrews Karly Bender Schism,2008,8.9,17-Apr-08
Comedy,David Wain Paul Rudd Amy Poehler They Came Together,2014,5.5,5-Sep-14
Comedy,Christopher Guest Zach Woods Wayne Wilderson Mascots,2016,5.8,13-Oct-16
Comedy,David Mackenzie Ashton Kutcher Anne Heche Spread,2009,5.9,8-Jul-09
Comedy,Chuck Workman Josh Mostel Melanie Chartoff Stoogemania,1986,4.3,Jun-86
Horror,Brian Skiba Gianni Capaldi Dominique Swain Deprivation,2017,5.6,16-Jan-17
Drama,Dan Gildark Jason Cottle Casey Curran Cthulhu,2007,4.7,14-Jun-07
Comedy,Don Coscarelli Dan McCann A. Michael Baldwin Kenny & Company,1976,7.6,Nov-76
Drama,Jerald Intrator Davee Decker Karen Lynn Orgy at Lil's Place,1963,7.6,1-Oct-67
Adult,Damon Christian Rhonda Jo Petty Yvette Cole Rhinestone Cowgirls,1981,6.8,NA
Adult,Rik Tazíner Don Holiday Jody Egor Inside Baby Sister,1977,5.6,Apr-77
Drama,None Michael Denarlo Joe Swiatek Morality,2016,8.6,14-May-16
Action,Rick Morales Adam West Burt Ward Batman: Return of the Caped Crusaders,2016,7,11-Oct-16
Crime,Tim McCann Johnny Messner Michael Risley The Poker Club,2008,5.2,16-Oct-08
Crime,Eben McGarr Leslie Andrews John McGarr Sick Girl,2007,4.6,1-Oct-07
Horror,Trey Edward Shults Joel Edgerton Christopher Abbott It Comes at Night,2017,6.2,9-Jun-17
Drama,Joseph Wartnerchaney Rob Zabrecky Lisa Howard Decay,2015,4.4,15-Nov
Comedy,Darin Ferriola David Boreanaz Alana De La Garza Mr. Fix It,2006,5.7,26-Dec-06
Action,None Vincent Pastore Ben Curtis Spy,2011,6.5,9-Aug-11
Crime,Ed Leftwich Vici Raaf Paul Bryar Squad Car,1960,3.8,Sep-60
Comedy,None Maggie Brown Dayna Hanson Improvement Club,2013,5.7,10-Mar-13
Documentary,Kimberli Zou Jana Grant Larry Myers Life for Sale,2008,7,8-Mar
Thriller,None Preston Fischer Reese Koster Branded Red,2017,5.8,4-Feb-17
Horror,None Noah Clark Scarlet Fry Horrorama,1989,4.5,29-Dec-89
Comedy,None Alexa Yeames Tara-Nicole Azarian Dirt Cheap Therapy,2011,7.1,NA
Adventure,Joe Berlinger Jeffrey Donovan Stephen Barker Turner Book of Shadows: Blair Witch 2,2000,4,27-Oct-00
Horror,Michael Wade Johnson Joe DeBartolo Portia Chellelynn Cellar Secret,2016,7.9,4-Dec-16
Comedy,Lindley Farley Jackie Almonte Ashley Arnold The Rodnees: We Mod Like Dat!,2005,7.4,8-Jun-05
Comedy,Michael Simon Benjamin Lutz John Werskey The Love Patient,2011,5.3,6-May-11
Adult,Vinnie Rossi Billy Dee Jonathan Lee Born to Be Maid,1987,4.3,NA
Action,Henry Vernon Michael Wayne Jason Williams The Danger Zone,1987,4.8,5-Nov-87
Drama,David Nutter Don Johnson Lisa Blount Cease Fire,1985,6.5,18-Oct-85
Horror,Ryan Callaway Madeline Lupi Michelle Lulic Where Demons Dwell: The Girl in the Cornfield 2,2017,5.7,13-Jan-17
Drama,Sandy Tung Ricky Schroder Brad Pitt Across the Tracks,1990,5.7,15-Feb-91
Action,Donald A. Davis Marsha Jordan Ann Perry The Golden Box,1970,5,17-Feb-70
Comedy,Sidney Lumet Michael Caine Christopher Reeve Deathtrap,1982,7,19-Mar-82
Horror,The Lowpriest Rachel Shatto Sara Jackson Road Trip,2013,6.7,19-Oct-13
Drama,Vahe Babaian Mic Tomasi Sophie Chahinian After Freedom,2002,6.4,14-May-04
Action,Arnold Laven Chuck Connors Kamala Devi Geronimo,1962,5.9,1-May-62
Drama,Malindi Fickle Lacy Marie Meyer Robyn Ross Suck it Up Buttercup,2014,8.2,12-Apr-14
Documentary,Mandy Stein Jayne County Jayne County Burning Down the House: The Story of CBGB,2009,7.7,24-Apr-09
Horror,Lou Vockell Rachael Lewis Jenna Heggem Vagrant,2008,6.1,14-Jun-08
Thriller,Chuck Vincent Blake Bahner Krista Lane Thrilled to Death,1988,5,7-Dec-89
Adult,George Savage Andrea True Franklin Anthony Summer Session,1975,4.5,Aug-75
Drama,Ron Krauss Vanessa Hudgens Rosario Dawson Gimme Shelter,2013,6.5,29-Oct-14
Drama,Jerome Courtland Stuart Whitman Frank Aletter Run  Cougar  Run,1972,6.7,18-Oct-72
Action,None Matt Lanter Nika Futterman Star Wars: The Clone Wars,2008,5.9,15-Aug-08
Animation,Vitaliy Versace Nevaeh Alkire Lucy Anguilano The Jungle Book: Make-A-Wish,2016,5.3,23-Jun-17
Drama,Erica Dunton Jazzy De Lisser Chelsea Logan To Get Her,2011,5.5,21-Jan-11
Drama,Daniel Kremer Alanna Blair William McKeever A Simple Game of Catch,2012,5.5,2012
Crime,Michael Apted Val Kilmer Sam Shepard Thunderheart,1992,6.8,3-Apr-92
Adult,None Champagne Rick Daniels Backdoor to Hollywood 7,1989,6,NA
Comedy,Richard Brander Kevin Costner Terry Congie Malibu Hot Summer,1981,2.5,1981
Action,Allan Kuskowski Jimmy Stathis Aldo Ray Drug Runners,1988,4.3,10-Mar-88
Comedy,Frankie Nasso Bobbie Brown Brad LaFave Steel Panther: Live from Lexxi's Mom's Garage,2016,9,26-Feb-16
Adventure,George Miller Pierce Brosnan William Takaku Robinson Crusoe,1997,5.9,12-Jun-97
Sport,None Ziad H. Hamzeh Enrique Oliu Henry O!,2009,8.6,19-Feb-09
Horror,Tom Alderman Deborah Walley Paul Carr The Severed Arm,1973,4.5,1973
Mystery,Christian Otjen Robert Glen Keith Apesanahkwat Lady in the Box,2001,6.1,11-May-01
Adult,Drea Athena Star Cyndee Summers Garter Charter Tours,1986,7.1,NA
Drama,Thomas Carter Julia Stiles Sean Patrick Thomas Save the Last Dance,2001,6.2,12-Jan-01
Action,Michael Kallio Tim Lovelace Daz Crawford Koreatown,2007,4.3,30-Mar-12
Comedy,Matthew Bright Natasha Lyonne María Celedonio Freeway II: Confessions of a Trickbaby,1999,5.6,24-Nov-00
Action,Ricou Browning Richard Jaeckel Ron Slinker Mr. No Legs,1978,5.1,14-Mar-79
Mystery,Wes Craven Rachel McAdams Cillian Murphy Red Eye,2005,6.5,19-Aug-05
Drama,Ben Wagner Amy Cale Peterson Scott Speiser Southbounders,2005,6.5,22-Jun-05
Crime,Stuart Smith Devon Doyle Devin Schmidt Dirty Work,2016,6.9,11-Nov-16
Action,Justin Timpane Daniel Ross Cory Okouchi Ninjas vs. Zombies,2008,2.9,31-Oct-08
Crime,Brad Osborne Eric Vale Julie Arebalo Hall of Mirrors,2001,7.5,31-Jan-01
Sci-Fi,Elizabeth Withstandley Peter Haig Irene Kessler Hello Earthlings!,2004,6,NA
Action,Rene Perez Robert Tweten Iren Levy The Dead the Damned and the Darkness,2014,3,7-Oct-14
Drama,Paul Dupree Benjy Benefield Gary Brumett Project: Threshold,2009,3.7,26-Jul-09
Crime,Richard Kanter Alex Rocco Elizabeth Knowles Wild Riders,1971,4.9,21-Apr-72
Drama,Bill Rahn Erik Estrada Ben Davies Uncommon,2015,6.6,1-Sep-15
Sci-Fi,David Bradley Ken Clark Michi Kobi 12 to the Moon,1960,2.8,Jun-60
Fantasy,Wes Tomasz Ciesla Dennis Brito Kristen Brancaccio The Ideal,2011,2.4,NA
Sci-Fi,Uri Niv Blake Baskin Christina Corigliano Last Day on Earth,2012,4.9,NA
Action,None Robin Collins Nick Reed Blood Angel,2012,7,30-Aug-12
Adventure,Sam Raimi James Franco Michelle Williams Oz the Great and Powerful,2013,6.3,8-Mar-13
